"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue";Label_Rate
01/01/2025;01/01/2025;"YouTube Official Content";India;"RoyalMotion IT";"Ranjan Chowdhury";"O Chokhe Dekhechi";"O Chokhe Dekhechi";3617668678709;FR-10S-25-27117;RMITRC13;"Music Release";Stream;198;EUR;0.016935840938;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Ukraine;"RoyalMotion IT";Dorshon;Shomoy;Shomoy;5063585887249;GX-5MY-24-59870;RMITDS03;"Music Release";Stream;1;EUR;0.000848720828;80.00
01/01/2025;01/01/2025;"YouTube Official Content";"United Arab Emirates";"RoyalMotion IT";"Ranjan Chowdhury, Moumita Barua";"E kemon Valobasa Bujhina";"E kemon Valobasa Bujhina";3617668545742;FR-10S-25-17316;RMITRC10;"Music Release";Stream;5;EUR;0.000523991861;80.00
01/01/2025;01/01/2025;"YouTube UGC";"Saudi Arabia";"RoyalMotion IT";Dorshon;Shomoy;Shomoy;5063585887249;GX-5MY-24-59870;RMITDS03;"Music Release";Stream;1;EUR;0.000051206884;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Bangladesh;"RoyalMotion IT";Dorshon;"Mrittu Chithi";"Mrittu Chithi";3617666802847;DG-A0S-24-21038;RMITDS01;"Music Release";Stream;44;EUR;0.010840307124;80.00
01/01/2025;01/01/2025;"YouTube Official Content";France;"RoyalMotion IT";"Ranjan Chowdhury";"Tumi Chao Bole";"Tumi Chao Bole";3617668545735;FR-10S-25-17315;RMITRC09;"Music Release";Stream;1;EUR;0.000137440488;80.00
01/01/2025;01/01/2025;"YouTube UGC";Canada;"RoyalMotion IT";"Purnoy Hoq";"Pera Nai Chill 2";"Pera Nai Chill 2";3617668323364;QZ-TAS-24-88692;RMITPQ01;"Music Release";Stream;3;EUR;0.000611149612;80.00
01/01/2025;01/11/2024;TikTok;Bangladesh;"RoyalMotion IT";Dorshon;"Mrittu Chithi";"Mrittu Chithi";3617666802847;DG-A0S-24-21038;RMITDS01;"Music Release";Creation;2;EUR;0.002788796754;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";Italy;"RoyalMotion IT";"Band Chandrarango";"Tomar Kolpona";"Tomar Kolpona তোমার কল্পনা";3617666130186;DG-A0R-24-49372;;"Music Release";Stream;1;EUR;0.000013511552;80.00
01/01/2025;01/01/2025;"YouTube UGC";Germany;"RoyalMotion IT";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;"Music Release";Stream;1;EUR;0.001824964856;80.00
01/01/2025;01/01/2025;"YouTube UGC";"United States";"RoyalMotion IT";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;"Music Release";Stream;3;EUR;0.015276619313;80.00
01/01/2025;01/01/2025;"YouTube Official Content";"United States";"RoyalMotion IT";"Rajib Bhattacharjee";"Nodi Tumi Apon Mone";"Nodi Tumi Apon Mone";3617668678907;FR-10S-25-27145;RMITRB02;"Music Release";Stream;1;EUR;0.004099989740;80.00
01/01/2025;01/11/2024;"Facebook / Instagram";Worldwide;"RoyalMotion IT";"Band Chandrarango";"Tomar Kolpona";"Tomar Kolpona তোমার কল্পনা";3617666130186;DG-A0R-24-49372;;"Music Release";Creation;104;EUR;0.036718868749;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Bangladesh;"RoyalMotion IT";"Ranjan Chowdhury, Moumita Barua";"E kemon Valobasa Bujhina";"E kemon Valobasa Bujhina";3617668545742;FR-10S-25-17316;RMITRC10;"Music Release";Stream;291;EUR;0.006470878881;80.00
01/01/2025;01/01/2025;"YouTube UGC";"Saudi Arabia";"RoyalMotion IT";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;"Music Release";Stream;24;EUR;0.007492869926;80.00
01/01/2025;01/11/2024;"Facebook / Instagram";Qatar;"RoyalMotion IT";Dorshon;"Mrittu Chithi";"Mrittu Chithi";3617666802847;DG-A0S-24-21038;RMITDS01;"Music Release";Creation;6;EUR;0.011578675609;80.00
01/01/2025;01/01/2025;"YouTube UGC";Canada;"RoyalMotion IT";"Band Chandrarango";"Tomar Kolpona";"Tomar Kolpona তোমার কল্পনা";3617666130186;DG-A0R-24-49372;;"Music Release";Stream;1;EUR;0.001719218096;80.00
01/01/2025;01/12/2024;Yandex;Uzbekistan;"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;1;EUR;0.000180054654;80.00
01/01/2025;01/01/2025;"YouTube UGC";Bangladesh;"RoyalMotion IT";"Ranjan Chowdhury, Subhamita Banerjee";"Mon jarai kathai kathai";"Mon jarai kathai kathai";3617666955628;DG-A0S-24-33927;RMITRC08;"Music Release";Stream;1;EUR;0.000884181323;80.00
01/01/2025;01/01/2025;"YouTube UGC";Nepal;"RoyalMotion IT";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;"Music Release";Stream;1;EUR;0.000154529650;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Qatar;"RoyalMotion IT";"Ranjan Chowdhury";"Tumi Chao Bole";"Tumi Chao Bole";3617668545735;FR-10S-25-17315;RMITRC09;"Music Release";Stream;1;EUR;0.000040404958;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Singapore;"RoyalMotion IT";"Ranjan Chowdhury, Moumita Barua";"E kemon Valobasa Bujhina";"E kemon Valobasa Bujhina";3617668545742;FR-10S-25-17316;RMITRC10;"Music Release";Stream;4;EUR;0.002510515950;80.00
01/01/2025;01/01/2025;"YouTube UGC";Bangladesh;"RoyalMotion IT";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;"Music Release";Stream;892;EUR;0.041904720192;80.00
01/01/2025;01/01/2025;"YouTube UGC";Kuwait;"RoyalMotion IT";"Band Chandrarango";"Tomar Kolpona";"Tomar Kolpona তোমার কল্পনা";3617666130186;DG-A0R-24-49372;;"Music Release";Stream;1;EUR;0.001098675506;80.00
01/01/2025;01/01/2025;"YouTube Official Content";"United States";"RoyalMotion IT";"Rajib Bhattacharjee";"Bristi Namar Aage";"Bristi Namar Aage";3617668990641;FR-10S-25-50215;RMITRB04;"Music Release";Stream;1;EUR;0.001062618587;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";France;"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;7;EUR;0.000094580864;80.00
01/01/2025;01/01/2025;"YouTube UGC";"Saudi Arabia";"RoyalMotion IT";"Purnoy Hoq";"Pera Nai Chill 2";"Pera Nai Chill 2";3617668323364;QZ-TAS-24-88692;RMITPQ01;"Music Release";Stream;2;EUR;0.000030602930;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Ireland;"RoyalMotion IT";"Ranjan Chowdhury";"Tumi Chao Bole";"Tumi Chao Bole";3617668545735;FR-10S-25-17315;RMITRC09;"Music Release";Stream;5;EUR;0.004033178392;80.00
01/01/2025;01/01/2025;"YouTube Official Content";India;"RoyalMotion IT";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;"Music Release";Stream;5;EUR;0.002299091454;80.00
01/01/2025;01/12/2024;Kkbox;Taiwan;"RoyalMotion IT";"Ranjan Chowdhury, Subhamita Banerjee";"Mon jarai kathai kathai";"Mon jarai kathai kathai";3617666955628;DG-A0S-24-33927;RMITRC08;"Music Release";Stream;1;EUR;0.001514731590;80.00
01/01/2025;01/12/2024;"Tencent QQ/CN";"China Mainland";"RoyalMotion IT";"Arif Chowdhury Prince";"Tomay Vebe Vebe";"Tomay Vebe Vebe";7316470349895;HK-K97-22-02083;RMITACP01;"Music Release";Stream;1;EUR;0.000466852766;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";Philippines;"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;3;EUR;0.000040534656;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";Cambodia;"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;2;EUR;0.000027023104;80.00
01/01/2025;01/01/2025;"YouTube Official Content";"United States";"RoyalMotion IT";"Ranjan Chowdhury, Subhamita Banerjee";"Bolo To Tumi";"Bolo To Tumi";3617668545759;FR-10S-25-17317;RMITRC12;"Music Release";Stream;1;EUR;0.007299617026;80.00
01/01/2025;01/12/2024;"Ultimate Music";"China Mainland";"RoyalMotion IT";"Arif Chowdhury Prince";"Prothom Dekha";"Prothom Dekha";7316470718929;HK-K97-22-20677;RMITACP02;"Music Release";Stream;1;EUR;0.002269454158;80.00
01/01/2025;01/01/2025;"YouTube UGC";"South Africa";"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;1;EUR;0.000058478867;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";"Saudi Arabia";"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;36;EUR;0.000486415872;80.00
