"Statement Period","Transaction Month","Label","Artist","Release Title","Track Title","UPC","ISRC","Release Catalog ID","Track Catalog ID","Format","Release ID","Track ID","Account ID","Contract ID","Payee ID","Service","Channel","Territory","Quantity","Gross Revenue in USD","Mechanical Royalties Deducted","Contract Rate %","Net Revenue in USD","Your Share %","Amount Due in USD","Opening Balance in USD","Closing Balance in USD"
"2025-04","2025-02","RoyalMotion IT","Dorshon","Priyo Bhul - প্রিয় ভুল","Priyo Bhul - প্রিয় ভুল","7316479786929","HUDHU2519799","RMITDS04","RMITDS04","Track","2644531.0000000000","6040966","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","United Arab Emirates","7","0.0029410000","0.0000000000","75.0000000000","0.0022057500","100.0000000000","0.0022057500","",""
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","United Arab Emirates","2","0.0001105000","0.0000000000","75.0000000000","0.0000828750","100.0000000000","0.0000828750","",""
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Bangladesh","1805","0.0221811750","0.0000000000","75.0000000000","0.0166358812","100.0000000000","0.0166358812","",""
"2025-04","2025-02","RoyalMotion IT","Dorshon","Priyo Bhul - প্রিয় ভুল","Priyo Bhul - প্রিয় ভুল","7316479786929","HUDHU2519799","RMITDS04","RMITDS04","Track","2644531.0000000000","6040966","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Saudi Arabia","23","0.0010459250","0.0000000000","75.0000000000","0.0007844438","100.0000000000","0.0007844438","",""
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Malaysia","4","0.0004156500","0.0000000000","75.0000000000","0.0003117375","100.0000000000","0.0003117375","",""
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Music","Ad-Supported Streaming","Bangladesh","11","0.0009608206","0.0000000000","75.0000000000","0.0007206155","100.0000000000","0.0007206155","",""
"2025-04","2025-02","RoyalMotion IT","Obsedian Rifts","Bishad Rupantor - বিষাদ রুপান্তর","Bishad Rupantor - বিষাদ রুপান্তর","7316479968943","HUDHU2519932","RMITOR01","RMITOR01","Track","2676115.0000000000","6103462","612392","819897","669643","YouTube Music","Ad-Supported Streaming","South Africa","2","0.0010726069","0.0000000000","75.0000000000","0.0008044552","100.0000000000","0.0008044552","",""
"2025-04","2025-02","RoyalMotion IT","Salehin I Apon","Icarus Er Dana","Icarus Er Dana","7316479983168","HUDHU2519985","RMITSIA01","RMITSIA01","Track","2677767.0000000000","6105967","612392","819897","669643","YouTube Content ID","Subscription Streaming","Bangladesh","1","0.0032762157","0.0000000000","75.0000000000","0.0024571618","100.0000000000","0.0024571618","",""
"2025-04","2025-02","RoyalMotion IT","Search Light","Cholo Adhar - চলো আঁধার","Cholo Adhar - চলো আঁধার","7316479843868","HUDHU2519861","RMITSL01","RMITSL01","Track","2653572.0000000000","6055839","612392","819897","669643","YouTube Music","Ad-Supported Streaming","Bangladesh","6","0.0001705931","0.0000000000","75.0000000000","0.0001279448","100.0000000000","0.0001279448","",""
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Germany","3","0.0012354750","0.0000000000","75.0000000000","0.0009266062","100.0000000000","0.0009266062","",""
"2025-04","2025-02","RoyalMotion IT","Dorshon","Priyo Bhul - প্রিয় ভুল","Priyo Bhul - প্রিয় ভুল","7316479786929","HUDHU2519799","RMITDS04","RMITDS04","Track","2644531.0000000000","6040966","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Oman","6","0.0008011250","0.0000000000","75.0000000000","0.0006008437","100.0000000000","0.0006008437","",""
